"You subscribe to our newsletter.","You subscribe to our newsletter."
"You don't subscribe to our newsletter.","You don't subscribe to our newsletter."
"You have not set a default shipping address.","You have not set a default shipping address."
"You have not set a default billing address.","You have not set a default billing address."
"Close Window","Close Window"
"Pay And View","Pay And View"
"Pay Offline","Pay Offline"
"Withdrawl Request Information","Withdrawl Request Information"
"Customer Email","Customer Email"
"Amount Requested","Amount Requested"
"Payment Method","Payment Method"
"Service Tax","Service Tax"
"Payable Amount","Payable Amount"
"Enter Transaction Id","Enter Transaction Id"
Note,Note
"Amount Information","Amount Information"
"Payment Information","Payment Information"
"Save and Continue Edit","Save and Continue Edit"
Save,Save
"Banner Information","Banner Information"
"Banner Name","Banner Name"
"Banner Type","Banner Type"
"Banner Source","Banner Source"
"Banner Text","Banner Text"
"Uploaded Files/Images","Uploaded Files/Images"
"Banner Height","Banner Height"
"Banner Width","Banner Width"
"Banner Link","Banner Link"
"Banner Validity","Banner Validity"
Status,Status
"Banner Management","Banner Management"
"Banner Details","Banner Details"
"Affiliate Account Information","Affiliate Account Information"
"Affiliate Name","Affiliate Name"
"Affiliate Email","Affiliate Email"
"Identity Information Type","Identity Information Type"
"Identity Information Document","Identity Information Document"
"Address Information Document","Address Information Document"
"Companyfile Information Document","Companyfile Information Document"
"First Name","First Name"
"Last Name","Last Name"
Email,Email
"Date Of Birth","Date Of Birth"
Tax/Vat,Tax/Vat
Gender,Gender
Password,Password
"Confirm Password","Confirm Password"
"Associate To Website","Associate To Website"
"Referral Website","Referral Website"
"Affiliate Status","Affiliate Status"
ID#,ID#
"Order Id","Order Id"
"Customer Name","Customer Name"
"Customer Type","Customer Type"
Comission,Comission
"Comission Type","Comission Type"
"Transaction Id","Transaction Id"
"Amount Paid","Amount Paid"
"Paid Through","Paid Through"
"Date Paid","Date Paid"
"Requested Date","Requested Date"
"Requested Amount","Requested Amount"
"Tax Type","Tax Type"
"Net Payable Amount","Net Payable Amount"
"Account Details","Account Details"
"Affiliate Orders","Affiliate Orders"
"Withdrawl Request History","Withdrawl Request History"
"Affiliate Transaction","Affiliate Transaction"
"Payment Methods","Payment Methods"
"Save Rule","Save Rule"
Back,Back
"Discount Denomination Rule","Discount Denomination Rule"
"Rule Name","Rule Name"
"Discount Amount","Discount Amount"
"Cart Amount","Cart Amount"
"Discount Denomination","Discount Denomination"
"Denomination Rule","Denomination Rule"
Cancel,Cancel
"Are you sure you want to cancel?","Are you sure you want to cancel?"
"Withrawl Request Information","Withrawl Request Information"
"Quotation List","Quotation List"
"Increment Id#","Increment Id#"
"User Type","User Type"
Date,Date
comission,comission
"Comission Mode","Comission Mode"
"Reset Filter","Reset Filter"
Search,Search
"Affiliate Login","Affiliate Login"
"Create New Affiliate Account","Create New Affiliate Account"
"Transaction History","Transaction History"
"Payment Mode","Payment Mode"
View,View
"Wallet Orders","Wallet Orders"
"Date of Birth","Date of Birth"
"Withdrawl Request List","Withdrawl Request List"
"Request Date","Request Date"
"Service Tax Mode","Service Tax Mode"
"Create Affiliate","Create Affiliate"
"Error In Uploading Document","Error In Uploading Document"
"Thank you for registering with %1. Your Account Is Under Admin Approval.On Approval You Will Recieve an Email","Thank you for registering with %1. Your Account Is Under Admin Approval.On Approval You Will Recieve an Email"
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account."
"We can't save the customer.","We can't save the customer."
"Please make sure your passwords match.","Please make sure your passwords match."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation."
"Thank you for registering with %1.","Thank you for registering with %1."
"Account Information","Account Information"
"You saved the account information.","You saved the account information."
"The account is locked. Please wait and try again or contact %1.","The account is locked. Please wait and try again or contact %1."
"We can't save the Affiliate.","We can't save the Affiliate."
"Password confirmation doesn't match entered password.","Password confirmation doesn't match entered password."
"The password doesn't match this account.","The password doesn't match this account."
"Please correct the email address.","Please correct the email address."
"We're unable to send the password reset email.","We're unable to send the password reset email."
"Please enter your email.","Please enter your email."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","If there is an account associated with %1 you will receive an email with a link to reset your password."
"Invalid Affiliate Account","Invalid Affiliate Account"
"Your Account Is Disapproved.Contact Administratior","Your Account Is Disapproved.Contact Administratior"
"Your Account Is Not Approved Yet","Your Account Is Not Approved Yet"
"My Account","My Account"
"Your Account Is Not ApprovedYet","Your Account Is Not ApprovedYet"
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email."
"Invalid login or password.","Invalid login or password."
"An unspecified error occurred. Please contact us for assistance.","An unspecified error occurred. Please contact us for assistance."
"A login and a password are required.","A login and a password are required."
"Affiliate Program","Affiliate Program"
"Thank you for registering","Thank you for registering"
"You Have Alreday One Request In Pending","You Have Alreday One Request In Pending"
"You Should Have minmium %1 amount for withdrawl request","You Should Have minmium %1 amount for withdrawl request"
"You are Requesting more than available balance","You are Requesting more than available balance"
CMS,CMS
Manage,Manage
Account,Account
AffiliateAccount,AffiliateAccount
"Payment Done Successfully","Payment Done Successfully"
"Banner Deleted Successfully","Banner Deleted Successfully"
