"Top Sliders","Топ плъзгачи"
"Slider","Slider"
"Top Banners","Горни банери"
"Banner","знаме"
"Special Products","Специални продукти"
"New Arrivals","Новодошли"
"Best Sellers","Най-продавани"
"Login Successful.","Успешен вход."
"This is a required field.","Това е задължително поле."
"Registration Successful.","Успешна регистрация."
"Cannot create user account.","Не може да се създаде потребителски акаунт."
"Email Id is required.","се изисква Id Email."
"Starting at","Започва в"
"Something went wrong","Нещо се обърка"
"Please select a category.","Моля, изберете категория."
"Product not found.","Продуктът не е намерен."
"Product Id is required.","се изисква Идентификационният номер на продукта."
"Links","звена"
"N/A","N / A"
"No","Не"
"was added to your shopping cart.","е добавен в кошницата."
"Cannot add the item to shopping cart.","Не може да добавите елемента към пазарска количка."
"Item has been updated in your cart successfully.","Точка е актуализирана в кошницата си успешно."
"Quantity has not been set for this product.","Количество не е настроен за този продукт."
"Cannot update shopping cart.","Не мога да актуализирам пазарска количка."
"Something went wrong.","Нещо се обърка."
"Quantity","количество"
"Item has been removed from your cart successfully.","Елементът бе премахнат от кошницата си успешно."
"Cannot remove the item.","не може да бъде премахнат."
"Prefix","префикс"
"First Name","Първо име"
"Middle Name/Initial","Презиме / Инициали"
"Last Name","Фамилия"
"Suffix","Наставка"
"Company","Компания"
"Address","адрес"
"Address 2","Адрес 2"
"City","град"
"Country","Държава"
"State/Province","Щат / Провинция"
"Zip/Postal Code","Zip / Postal Code"
"Telephone","Телефон"
"Fax","факс"
"Please select a country.","Моля, изберете държава."
"Customer is not looged in","Клиентът не е looged в"
"Address not selected.","Адресът не е избран."
"The customer address is not valid.","клиента адрес не е валиден."
"Cart information loaded successfully","информация Кошница зареден успешно"
"No Shipping Method Required","Не Начин на доставка Задължително"
"No Shipping Method Available","Не Начин за доставка в наличност"
"Shipping method was set successfully.","Начин на доставка е създадена успешно."
"An error occurred while selecting shipping method.","Възникна грешка при избиране на начин на доставка."
"Please login to view your addresses.","Моля, влезте, за да видите адресите си."
"Address has been updated successfully.","Адрес е актуализиран успешно."
"Address has been added successfully.","Адрес е добавен успешно."
"Please login to add/update your addresses.","Моля, влезте, за добавяне / актуализиране на адресите си."
"An error occurred while saving billing address.","Възникна грешка при запазването на адрес за фактуриране."
"An error occurred while saving shipping address.","Възникнала е грешка при запазване на адрес за доставка."
"No Payment methods is enabled","Не Начин на плащане е активиран"
"No Payment methods has been configured","Не Начин на плащане не се конфигурира"
"Order created successfully","Поръчката е създадена успешно"
"Your information has been updated successfully.","Информацията ви е актуализирана успешно."
"Invalid email address.","Невалиден имейл адрес."
"If there is an account associated with your email you will receive an email with a link to reset your password.","Ако има профил, свързан с електронната си поща ще получите имейл с линк към промените паролата си."
"Please enter your email.","Моля, въведете вашия имейл."
"Please login to view your orders.","Моля, влезте, за да видите Вашите поръчки."
"Orders not found.","Поръчките не са намерени."
"Please login to view your order details.","Моля, влезте, за да видите подробностите за поръчката си."
"Please select an order.","Моля, изберете поръчка."
"Subtotal","Междинна сума"
"Shipping & Handling","транспорт и доставка"
"Discount","отстъпка"
"Tax","данък"
"Grand Total","Общо"
"Order created by this cart","Поръчката е създадена от тази количка"
"Voucher has been applied to your cart successfully.","Ваучер е бил приложен към кошницата си успешно."
