"Top Sliders","Top Sliders"
"Slider","Slider"
"Top Banners","Top bannery"
"Banner","Prapor"
"Special Products","Speciální produkty"
"New Arrivals","Nově příchozí"
"Best Sellers","Nejlepší prodejci"
"Login Successful.","Přihlášení úspěšné."
"This is a required field.","Toto je požadované pole."
"Registration Successful.","Registrace úspěšná."
"Cannot create user account.","Nelze vytvořit uživatelský účet."
"Email Id is required.","Je zapotřebí Id e-mail."
"Starting at","začíná na"
"Something went wrong","Něco se pokazilo"
"Please select a category.","Prosím, vyberte kategorii."
"Product not found.","Produkt nebyl nalezen."
"Product Id is required.","je vyžadováno ID produktu."
"Links","Odkazy"
"N/A","N / A"
"No","Ne"
"was added to your shopping cart.","byl přidán do nákupního košíku."
"Cannot add the item to shopping cart.","Nelze přidat položku do košíku."
"Item has been updated in your cart successfully.","Položka byla aktualizována v košíku úspěšně."
"Quantity has not been set for this product.","Množství nebylo nastaveno pro tento produkt."
"Cannot update shopping cart.","Nelze aktualizovat nákupního košíku."
"Something went wrong.","Něco se pokazilo."
"Quantity","Množství"
"Item has been removed from your cart successfully.","Položka byla odstraněna z košíku úspěšně."
"Cannot remove the item.","Nelze odstranit položku."
"Prefix","Předpona"
"First Name","Jméno"
"Middle Name/Initial","Prostřední jméno / Initial"
"Last Name","Příjmení"
"Suffix","Přípona"
"Company","Společnost"
"Address","Adresa"
"Address 2","Adresa 2"
"City","Město"
"Country","Země"
"State/Province","Stát Provincie /"
"Zip/Postal Code","Zip / Postal Code"
"Telephone","Telefon"
"Fax","Fax"
"Please select a country.","Vyberte zemi."
"Customer is not looged in","Zákazník není looged v"
"Address not selected.","Adresa není vybrána."
"The customer address is not valid.","Adresa zákazník není platný."
"Cart information loaded successfully","Košík informace úspěšně načten"
"No Shipping Method Required","Ne Přepravní Required Method"
"No Shipping Method Available","Ne Způsob dopravy je k dispozici"
"Shipping method was set successfully.","Lodní metoda byla úspěšně nastavena."
"An error occurred while selecting shipping method.","Při výběru způsobu dopravy došlo k chybě."
"Please login to view your addresses.","Prosím přihlašte se k zobrazení adresy."
"Address has been updated successfully.","Adresa byla úspěšně aktualizována."
"Address has been added successfully.","Adresa byla úspěšně přidána."
"Please login to add/update your addresses.","Prosím přihlašte se k přidání / aktualizovat své adresy."
"An error occurred while saving billing address.","Při ukládání fakturační adresy došlo k chybě."
"An error occurred while saving shipping address.","Při ukládání dodací adresu došlo k chybě."
"No Payment methods is enabled","Žádné vyplacení je povoleno"
"No Payment methods has been configured","Žádné vyplacení byla nakonfigurována"
"Order created successfully","Objednávka byla úspěšně vytvořena"
"Your information has been updated successfully.","Vaše informace byly úspěšně aktualizovány."
"Invalid email address.","Neplatná emailová adresa."
"If there is an account associated with your email you will receive an email with a link to reset your password.","Je-li účet spojený s e-mailu obdržíte e-mail s odkazem k resetování hesla."
"Please enter your email.","Prosím, zadejte svůj e-mail."
"Please login to view your orders.","Prosím přihlašte se pro zobrazení vašich objednávek."
"Orders not found.","Objednávky nebyl nalezen."
"Please login to view your order details.","Prosím přihlašte se pro zobrazení podrobností objednávky."
"Please select an order.","Prosím, vyberte příkaz."
"Subtotal","mezisoučet"
"Shipping & Handling","poštovné a balné"
"Discount","Sleva"
"Tax","Daň"
"Grand Total","Celkový součet"
"Order created by this cart","Objednat vytvořený tímto košíku"
"Voucher has been applied to your cart successfully.","Poukázka byla aplikována do košíku úspěšně."
"Coupon code is not valid.","Kupon kód není platný."
"Voucher has been removed from your cart successfully.","Poukázka byla odstraněna z košíku úspěšně."
"Please login to add this product to wishlist.","Prosím přihlašte se k přidání tohoto produktu do seznamu přání."
"Please select a product","Vyberte si výrobek"
"Cannot specify product.","Nelze určit produkt."
"%1$s has been added to your wishlist.","% 1 $ s byl přidán do vašeho přání."
"An error occurred while adding item to wishlist: %s","Při přidávání položky do seznamu přání došlo k chybě:% s"
"Requested wishlist doesn't exist","Požadované seznam přání neexistuje"
"SKU","SKU"
"Wishlist could not be created.","Přání nemohl být vytvořen."
"An error occurred while deleting the item from wishlist.","Při mazání položky ze seznamu přání došlo k chybě."
"Wishlist item has been successfully removed.","Přání položka byla úspěšně odstraněna."
"An error occurred while deleting the item from wishlist: %s","Při mazání položky ze seznamu přání došlo k chybě:% s"
"Item has been successfully added to the cart.","Položka byla úspěšně přidána do košíku."
"Incl. Tax","Vč. Daň"
"Unable to post the review.","Nelze přidat recenzi."
"Recent Products","Nedávné produkty"
"From","Z"
"To","Na"
"Mobile number and country code is Mandatory.","Mobilní číslo a kód země je povinný."
"Country Code is Mandatory.","Country Code je povinné."
"This mobile number has already been registered with an other account.","Toto číslo mobilního telefonu již byla registrována s jiným účtem."
"Shipping Method is disabled.","Způsob dopravy je zakázáno."
"Mobile Number is blank","Číslo mobilního telefonu je prázdná"
"Mobile Number already exist","Číslo mobilního telefonu již existují"
"Empty Mobile number.","Vyprázdnit Mobil."
"Empty Country Code.","Vyprázdnit kód země."
"Empty Password.","Prázdná hesla."
"The password has been changed successfully.","Heslo bylo úspěšně změněno."
"Password cannot be updated.","Heslo nelze aktualizovat."
"An account using this email address does not exists.","Účet pomocí této e-mailové adresy neexistuje."
"The account has been mapped for the fingerprint login in this device.","Účet byl mapován pro přihlášení otisků prstů v tomto přístroji."
"The account can not be mapped for the fingerprint login in this device.","Účet nemůže být mapovány na přihlášení otisků prstů v tomto přístroji."
"Customer data is not available.","zákaznická data nejsou k dispozici."
"Your account isn\'t available at this time.","Váš účet ISN \ 't k dispozici v tomto okamžiku."
"This Unique Id is not linked with the Email id.","Toto Id Unique není propojen s e-mailové adresy."
"This Mobile number is not linked with any account.","Toto Mobil není spojen s žádným účtem."
"Mobile Number or country code is not available.","Číslo mobilního telefonu nebo kód země není k dispozici."
"Mobile number exists into the database..","Číslo mobilního telefonu existuje do databáze .."
"Mobile number does not exists into the database..","Mobil neexistuje do databáze .."
"Not Mentioned","Není uvedeno"
"Marektplace Module is not enabled","Marektplace Modul není povolen"
"Seller id is missing","Prodejce id chybí"
"Seller not found","Prodávající nebyl nalezen"
"Please login to write review.","Prosím přihlašte se k přezkoumání zápisu."
"Not able to submit your review. Title or comment is missing.","Není schopen předložit svůj názor. Název nebo poznámka chybí."
"Not able to submit your review. Posting review for this seller is not allowed.","Není schopen předložit svůj názor. přezkoumání Vysílání tohoto prodejce není povoleno."
"Thanks! for rating the Seller.","Dík! Pro ratingu prodávajícímu."
"All","Všechno"
"Name","název"
"A-Z","A-Z"
"Z-A","Z-A"
"Price","Cena"
"Low to High","Od nejnižšího k nejvyššímu"
"High to Low","Od nejvyššího k nejnižšímu"
"Ascending","stoupající"
"Descending","Klesající"
"All Products","Všechny produkty"
"Customer already registered.","Zákazník již zaregistrované."
"An error occurred .","Vyskytla se chyba ."
"Success.","Úspěch."
"Last order was not completed.","Poslední objednávka nebyla dokončena."
"Can't apply voucher code on this cart.","Nelze použít kód voucheru na tomto vozíku."
"An error occurred while adding item to wishlist: %1","Při přidávání položky do seznamu přání došlo k chybě:% 1"
"Your review has been accepted for moderation.","Vaše hodnocení bylo přijato na moderování."
"Review by %1","Přezkoumání% 1"
"(Posted on %1)","(Publikováno% 1)"
"--Select Category--","--Vyberte kategorii--"
"Order Successfully Created","Objednávka byla úspěšně vytvořena"
"Hi Thanks for your interest. Keep shopping with us to become our premium customer.","Ahoj díky za Váš zájem. Udržovat nakupování u nás, aby se stal naším nejlepším zákazníkem."
"Order status update","Aktualizace stavu objednávky"
"Hi Your order status has been changed to {{STATUS}}.","Hi Váš stav objednávky byl změněn na {{STATUS}}."
"Hurry!","Pospěš si!"
"Hi","Dokončit svou objednávku získat další výhody při další objednávce."
"Best Seller Products","Nejprodávanější produkty"
"Featured Products","představované výrobky"
"New Products","Nové produkty"
"From a category","Z kategorie"
"Custom Products","Custom Products"
"Mobile App Builder","Mobile App Builder"
"Settings saved successfully.","Nastavení úspěšně uloženo."
"Firebase Server key is not available","Firebase klíč Server není k dispozici"
"Notificaton Send successfully","Notificaton úspěšně Odeslat"
"Data saved successfully.","Data byla úspěšně uložena."
"Component deleted successfully.","Komponenta byla úspěšně odstraněna."
"Banner data deleted successfully.","Údaje banner úspěšně odstraněna."
"Layout deleted successfully.","Dispozice byla úspěšně odstraněna."
"Data has been saved successfully.","Data byla úspěšně uložena."
"Settings saved successfully","Nastavení úspěšně uloženo"
"Edit Layout","Edit Layout"
"Knowband Mobile App Builder is not enabled on this store.","Knowband Mobile App Builder není povolen v tomto obchodě."
"Requested API not available","Požadované API není k dispozici"
"Requested Api method not available","Požadovaná metoda není k dispozici Api"
"Save Settings","Uložit nastavení"
"Edit","Upravit"
"Edit Name","Edit Name"
"Delete","Vymazat"
"View Details","Zobrazit podrobnosti"
"Layout ID","Layout ID"
"Layout Name","Layout Name"
"Action","Akce"
"Home Page Layout Settings","Titulní strana nastavení rozvržení"
"Title","Titul"
"URL","URL"
"Upload","nahrát"
"Image Type","Typ obrázku"
"Home","Domov"
"Category","Kategorie"
"Product","Produkt"
"Redirect Activity","přesměrování Aktivita"
"Disable","Zakázat"
"Enable","Umožnit"
"Status","Postavení"
"Banners Settings","Nastavení bannery"
"ID","ID"
"Device Type","Typ zařízení"
"Both Android/iOS","Oba Android / iOS"
"Android","robot"
"iOS","iOS"
"Sent Date","Datum odeslání"
"Push Notification History","Push Notification History"
"Return Statuses","zpáteční Stavy"
