Top Sliders,Top Sliders
Slider,Slider
Top Banners,Top Banners
Banner,Banner
Special Products,Special Products
New Arrivals,New Arrivals
Best Sellers,Best Sellers
Login Successful.,Login Successful.
This is a required field.,This is a required field.
Registration Successful.,Registration Successful.
Cannot create user account.,Cannot create user account.
Email Id is required.,Email Id is required.
Starting at ,Starting at 
Something went wrong,Something went wrong
Please select a category.,Please select a category.
Product not found.,Product not found.
Product Id is required.,Product Id is required.
Links,Links
N/A,N/A
No,No
 was added to your shopping cart., was added to your shopping cart.
Cannot add the item to shopping cart.,Cannot add the item to shopping cart.
Item has been updated in your cart successfully.,Item has been updated in your cart successfully.
Quantity has not been set for this product.,Quantity has not been set for this product.
Cannot update shopping cart.,Cannot update shopping cart.
Something went wrong.,Something went wrong.
Quantity,Quantity
Item has been removed from your cart successfully.,Item has been removed from your cart successfully.
Cannot remove the item.,Cannot remove the item.
Prefix,Prefix
First Name,First Name
Middle Name/Initial,Middle Name/Initial
Last Name,Last Name
Suffix,Suffix
Company,Company
Address,Address
Address 2,Address 2
City,City
Country,Country
State/Province,State/Province
Zip/Postal Code,Zip/Postal Code
Telephone,Telephone
Fax,Fax
Please select a country.,Please select a country.
Customer is not looged in,Customer is not looged in
Address not selected.,Address not selected.
The customer address is not valid.,The customer address is not valid.
Cart information loaded successfully,Cart information loaded successfully
No Shipping Method Required,No Shipping Method Required
No Shipping Method Available,No Shipping Method Available
Shipping method was set successfully.,Shipping method was set successfully.
An error occurred while selecting shipping method.,An error occurred while selecting shipping method.
Please login to view your addresses.,Please login to view your addresses.
Address has been updated successfully.,Address has been updated successfully.
Address has been added successfully.,Address has been added successfully.
Please login to add/update your addresses.,Please login to add/update your addresses.
An error occurred while saving billing address.,An error occurred while saving billing address.
An error occurred while saving shipping address.,An error occurred while saving shipping address.
No Payment methods is enabled,No Payment methods is enabled
No Payment methods has been configured,No Payment methods has been configured
Order created successfully,Order created successfully
Your information has been updated successfully.,Your information has been updated successfully.
Invalid email address.,Invalid email address.
If there is an account associated with your email  you will receive an email with a link to reset your password.,If there is an account associated with your email  you will receive an email with a link to reset your password.
Please enter your email.,Please enter your email.
Please login to view your orders.,Please login to view your orders.
Orders not found.,Orders not found.
Please login to view your order details.,Please login to view your order details.
Please select an order.,Please select an order.
Subtotal,Subtotal
Shipping & Handling,Shipping & Handling
Discount,Discount
Tax,Tax
Grand Total,Grand Total
Order created by this cart,Order created by this cart
Voucher has been applied to your cart successfully.,Voucher has been applied to your cart successfully.
Coupon code is not valid.,Coupon code is not valid.
Voucher has been removed from your cart successfully.,Voucher has been removed from your cart successfully.
Please login to add this product to wishlist.,Please login to add this product to wishlist.
Please select a product,Please select a product
Cannot specify product.,Cannot specify product.
%1$s has been added to your wishlist.,%1$s has been added to your wishlist.
An error occurred while adding item to wishlist: %s,An error occurred while adding item to wishlist: %s
Requested wishlist doesn't exist,Requested wishlist doesn't exist
SKU,SKU
Wishlist could not be created.,Wishlist could not be created.
An error occurred while deleting the item from wishlist.,An error occurred while deleting the item from wishlist.
Wishlist item has been successfully removed.,Wishlist item has been successfully removed.
An error occurred while deleting the item from wishlist: %s,An error occurred while deleting the item from wishlist: %s
Item has been successfully added to the cart.,Item has been successfully added to the cart.
Incl. Tax,Incl. Tax
Unable to post the review.,Unable to post the review.
Recent Products,Recent Products
From ,From 
 To , To 
Mobile number and country code is Mandatory.,Mobile number and country code is Mandatory.
Country Code is Mandatory.,Country Code is Mandatory.
This mobile number has already been registered with an other account.,This mobile number has already been registered with an other account.
Shipping Method is disabled.,Shipping Method is disabled.
Mobile Number is blank,Mobile Number is blank
Mobile Number already exist,Mobile Number already exist
Empty Mobile number.,Empty Mobile number.
Empty Country Code.,Empty Country Code.
Empty Password.,Empty Password.
The password has been changed successfully.,The password has been changed successfully.
Password cannot be updated.,Password cannot be updated.
An account using this email address does not exists.,An account using this email address does not exists.
The account has been mapped for the fingerprint login in this device.,The account has been mapped for the fingerprint login in this device.
The account can not be mapped for the fingerprint login in this device.,The account can not be mapped for the fingerprint login in this device.
Customer data is not available.,Customer data is not available.
Your account isn\'t available at this time.,Your account isn\'t available at this time.
This Unique Id is not linked with the Email id.,This Unique Id is not linked with the Email id.
This Mobile number is not linked with any account.,This Mobile number is not linked with any account.
Mobile Number or country code is not available.,Mobile Number or country code is not available.
Mobile number exists into the database..,Mobile number exists into the database..
Mobile number does not exists into the database..,Mobile number does not exists into the database..
Not Mentioned,Not Mentioned
Marektplace Module is not enabled,Marektplace Module is not enabled
Seller id is missing,Seller id is missing
Seller not found,Seller not found
Please login to write review.,Please login to write review.
Not able to submit your review. Title or comment is missing.,Not able to submit your review. Title or comment is missing.
Not able to submit your review. Posting review for this seller is not allowed.,Not able to submit your review. Posting review for this seller is not allowed.
Thanks! for rating the Seller.,Thanks! for rating the Seller.
All,All
Name,Name
A-Z,A-Z
Z-A,Z-A
Price,Price
Low to High,Low to High
High to Low,High to Low
Ascending,Ascending
Descending,Descending
All Products,All Products
Customer already registered.,Customer already registered.
An error occurred .,An error occurred .
Success.,Success.
Last order was not completed.,Last order was not completed.
Can't apply voucher code on this cart.,Can't apply voucher code on this cart.
An error occurred while adding item to wishlist: %1,An error occurred while adding item to wishlist: %1
Your review has been accepted for moderation.,Your review has been accepted for moderation.
Review by %1,Review by %1
(Posted on %1),(Posted on %1)
--Select Category--,--Select Category--
Order Successfully Created,Order Successfully Created
Hi Thanks for your interest. Keep shopping with us to become our premium customer.,Hi Thanks for your interest. Keep shopping with us to become our premium customer.
Order status update,Order status update
Hi Your order status has been changed to {{STATUS}}.,Hi Your order status has been changed to {{STATUS}}.
Hurry!,Hurry!
Hi, Complete your order to get extra benefits on your next order.,Hi, Complete your order to get extra benefits on your next order.
Best Seller Products,Best Seller Products
Featured Products,Featured Products
New Products,New Products
From a category,From a category
Custom Products,Custom Products
Mobile App Builder,Mobile App Builder
Settings saved successfully.,Settings saved successfully.
Firebase Server key is not available,Firebase Server key is not available
Notificaton Send successfully,Notificaton Send successfully
Data saved successfully.,Data saved successfully.
Component deleted successfully.,Component deleted successfully.
Banner data deleted successfully.,Banner data deleted successfully.
Layout deleted successfully.,Layout deleted successfully.
Data has been saved successfully.,Data has been saved successfully.
Settings saved successfully,Settings saved successfully
Edit Layout,Edit Layout
Knowband Mobile App Builder is not enabled on this store.,Knowband Mobile App Builder is not enabled on this store.
Requested API not available,Requested API not available
Requested Api method not available,Requested Api method not available
Save Settings,Save Settings
Edit,Edit
Edit Name,Edit Name
Delete,Delete
View Details,View Details
Layout ID,Layout ID
Layout Name,Layout Name
Action,Action
Home Page Layout Settings,Home Page Layout Settings
Title,Title
URL,URL
Upload,Upload
Image Type,Image Type
Home,Home
Category,Category
Product,Product
Redirect Activity,Redirect Activity
Disable,Disable
Enable,Enable
Status,Status
Banners Settings,Banners Settings
ID,ID
Device Type,Device Type
Both Android/iOS,Both Android/iOS
Android,Android
iOS,iOS
Sent Date,Sent Date
Push Notification History,Push Notification History
Return Statuses,Return Statuses
Coupon Code,Coupon Code
Customer Email,Customer Email
Device,Device
Coupon Used,Coupon Used
Yes,Yes
Coupon Generated On,Coupon Generated On
Menu Settings,Menu Settings
Push Notification Settings,Push Notification Settings
Slider Settings,Slider Settings
Google Login Settings,Google Login Settings
Facebook Login Settings,Facebook Login Settings
General Settings,General Settings
New Arrival,New Arrival
Best Seller,Best Seller
Statistics,Statistics
Category Icon Settings,Category Icon Settings
Code,Code
Payment Method Settings,Payment Method Settings
Image,Image
Upto Time,Upto Time
Background Color,Background Color
Text Color,Text Color
Redirect,Redirect
Category ID,Category ID
Product ID,Product ID
Product Name,Product Name
Sort Order,Sort Order
Layout Settings,Layout Settings
Back,Back
Session has expired. Please try again after Re-login.,Session has expired. Please try again after Re-login.
Sorry, no quotes are available for this order at this time.,Sorry, no quotes are available for this order at this time.
Place Order,Place Order
Heading of this Component,Heading of this Component
Field cannot be empty.,Field cannot be empty.
Select Product Type,Select Product Type
Select Category,Select Category
Select Products from Category,Select Products from Category
Select Products,Select Products
Number of products,Number of products
Image Content Mode,Image Content Mode
Scale aspect fill,Scale aspect fill
Scale aspect Fit,Scale aspect Fit
Please select category.,Please select category.
Please select product.,Please select product.
Please select image type,Please select image type
Please provide image url,Please provide image url
Please select category,Please select category
Please select product,Please select product
Only Positive integer is allowed.,Only Positive integer is allowed.
Please select an option from dropdown.,Please select an option from dropdown.
You can enter only numbers.,You can enter only numbers.
Number should be greater than 0.,Number should be greater than 0.
Field cannot be greater than {#} characters.,Field cannot be greater than {#} characters.
Field cannot be less than {#} character(s).,Field cannot be less than {#} character(s).
Please enter Email.,Please enter Email.
Please enter a valid Email.,Please enter a valid Email.
Invalid date format.,Invalid date format.
Number is not in the valid range. It should be between {1} and {100},Number is not in the valid range. It should be between {1} and {100}
Field should be numeric.,Field should be numeric.
Field can have only upto two decimal values.,Field can have only upto two decimal values.
Email cannot be greater than {#} characters.,Email cannot be greater than {#} characters.
Zip should not have special characters.,Zip should not have special characters.
Percentage should be in number.,Percentage should be in number.
Percentage should be between 0 and 100.,Percentage should be between 0 and 100.
Size cannot be greater than {#} characters.,Size cannot be greater than {#} characters.
Color could not be greater than {#} characters.,Color could not be greater than {#} characters.
Color is not valid.,Color is not valid.
Special characters are not allowed.,Special characters are not allowed.
Script tags are not allowed.,Script tags are not allowed.
