"Top Sliders","Top Sliders"
"Slider","deslizador"
"Top Banners","Top Banderas"
"Banner","Bandera"
"Special Products","productos especiales"
"New Arrivals","Los recién llegados"
"Best Sellers","Top Ventas"
"Login Successful.","Inicio de sesión correcto."
"This is a required field.","Este es un campo obligatorio."
"Registration Successful.","Registro exitoso."
"Cannot create user account.","No se puede crear la cuenta de usuario."
"Email Id is required.","Se requiere ID de correo electrónico."
"Starting at","A partir de"
"Something went wrong","Algo salió mal"
"Please select a category.","Porfavor seleccione una categoría."
"Product not found.","Producto no encontrado."
"Product Id is required.","Se requiere identificación del producto."
"Links","Enlaces"
"N/A","N / A"
"No","No"
"was added to your shopping cart.","fue agregado a su carrito de compras."
"Cannot add the item to shopping cart.","No se puede añadir el artículo al carrito."
"Item has been updated in your cart successfully.","Artículo ha sido actualizado en su carrito con éxito."
"Quantity has not been set for this product.","La cantidad no se ha fijado para este producto."
"Cannot update shopping cart.","No se puede actualizar cesta de la compra."
"Something went wrong.","Algo salió mal."
"Quantity","Cantidad"
"Item has been removed from your cart successfully.","Artículo ha sido eliminado de su carrito con éxito."
"Cannot remove the item.","No se puede eliminar el elemento."
"Prefix","Prefijo"
"First Name","Primer nombre"
"Middle Name/Initial","Segundo nombre / Inicial"
"Last Name","Apellido"
"Suffix","Sufijo"
"Company","Empresa"
"Address","Habla a"
"Address 2","Dirección 2"
"City","Ciudad"
"Country","País"
"State/Province","Provincia del estado"
"Zip/Postal Code","Zip / Código Postal"
"Telephone","Teléfono"
"Fax","Fax"
"Please select a country.","Por favor seleccione un país."
"Customer is not looged in","El cliente no está en looged"
"Address not selected.","Dirección no seleccionado."
"The customer address is not valid.","La dirección del cliente no es válida."
"Cart information loaded successfully","Cesta de información ha cargado correctamente"
"No Shipping Method Required","Ningún método de envío requeridos"
"No Shipping Method Available","Ningún método de envío Disponible"
"Shipping method was set successfully.","método de envío se estableció correctamente."
"An error occurred while selecting shipping method.","Se produjo un error al seleccionar el método de envío."
"Please login to view your addresses.","Inicia sesión para ver sus direcciones."
"Address has been updated successfully.","Dirección se ha actualizado correctamente."
"Address has been added successfully.","Dirección ha sido agregado con éxito."
"Please login to add/update your addresses.","Inicia sesión para añadir / actualizar sus direcciones."
"An error occurred while saving billing address.","Se produjo un error al guardar la dirección de facturación."
"An error occurred while saving shipping address.","Se produjo un error al guardar la dirección de envío."
"No Payment methods is enabled","No hay métodos de pago están habilitados"
"No Payment methods has been configured","No hay métodos de pago se ha configurado"
"Order created successfully","Solicitar creado correctamente"
"Your information has been updated successfully.","Su información se ha actualizado correctamente."
"Invalid email address.","dirección de correo electrónico válida."
"If there is an account associated with your email you will receive an email with a link to reset your password.","Si hay una cuenta asociada con su correo electrónico, usted recibirá un correo electrónico con un enlace para restablecer su contraseña."
"Please enter your email.","Por favor introduzca su correo electrónico."
"Please login to view your orders.","Inicia sesión para ver sus pedidos."
"Orders not found.","Los pedidos no encontrados."
"Please login to view your order details.","Inicia sesión para ver los detalles del pedido."
"Please select an order.","Por favor, seleccione un pedido."
"Subtotal","Total parcial"
"Shipping & Handling","Envío y manipulación"
"Discount","Descuento"
"Tax","Impuesto"
"Grand Total","Gran total"
"Order created by this cart","Orden creada por este carro"
"Voucher has been applied to your cart successfully.","Bono se ha aplicado con éxito a tu cesta."
"Coupon code is not valid.","Código de descuento no es válido."
"Voucher has been removed from your cart successfully.","Bono se ha quitado de su carrito con éxito."
"Please login to add this product to wishlist.","Inicia sesión para añadir este producto a la lista."
"Please select a product","Por favor seleccione un producto"
"Cannot specify product.","No se puede especificar un producto."
"%1$s has been added to your wishlist.","% 1 $ s ha sido añadido a su lista de deseos."
"An error occurred while adding item to wishlist: %s","Se produjo un error al agregar elemento a la lista de deseos:% s"
"Requested wishlist doesn't exist","Lista solicitada no existe"
"SKU","SKU"
"Wishlist could not be created.","Lista no se pudo crear."
"An error occurred while deleting the item from wishlist.","Se produjo un error al eliminar el elemento de lista de deseos."
"Wishlist item has been successfully removed.","Lista artículo ha sido eliminado con éxito."
"An error occurred while deleting the item from wishlist: %s","Se produjo un error al eliminar el elemento de deseos:% s"
"Item has been successfully added to the cart.","Artículo agregado con éxito a la cesta."
"Incl. Tax","Incl. Impuesto"
"Unable to post the review.","No se puede enviar la revisión."
"Recent Products","Productos recientes"
"From","Desde"
"To","A"
"Mobile number and country code is Mandatory.","número y código de país móvil es obligatoria."
"Country Code is Mandatory.","Código de País es obligatoria."
"This mobile number has already been registered with an other account.","Este número de teléfono móvil ya se ha registrado con otra cuenta."
"Shipping Method is disabled.","Método de envío está deshabilitado."
"Mobile Number is blank","Número móvil está en blanco"
"Mobile Number already exist","Número móvil ya existe"
"Empty Mobile number.","Vaciar número de móvil."
"Empty Country Code.","Vaciar código de país."
"Empty Password.","Contraseña vacía."
"The password has been changed successfully.","La contraseña ha sido cambiada con éxito."
"Password cannot be updated.","La contraseña no puede ser actualizado."
"An account using this email address does not exists.","Una cuenta a través de esta dirección de correo electrónico no existe."
"The account has been mapped for the fingerprint login in this device.","La cuenta se ha mapeado para el inicio de sesión de huellas digitales en este dispositivo."
"The account can not be mapped for the fingerprint login in this device.","La cuenta no puede ser asignada para la entrada de huellas digitales en este dispositivo."
"Customer data is not available.","Los datos del cliente no está disponible."
"Your account isn\'t available at this time.","Su cuenta ISN \ 't disponible en este momento."
"This Unique Id is not linked with the Email id.","Este identificador único no está vinculado con el correo electrónico de identificación."
"This Mobile number is not linked with any account.","Este número móvil no está vinculada a ninguna cuenta."
"Mobile Number or country code is not available.","Número móvil o código de país no está disponible."
"Mobile number exists into the database..","número de teléfono móvil existe en la base de datos .."
"Mobile number does not exists into the database..","número de teléfono móvil no existe en la base de datos .."
"Not Mentioned","No mencionado"
"Marektplace Module is not enabled","Marektplace módulo no está habilitado"
"Seller id is missing","Identificación del vendedor no se encuentra"
"Seller not found","El vendedor no encontrado"
"Please login to write review.","Inicia sesión para escribir una evaluación."
"Not able to submit your review. Title or comment is missing.","No es capaz de enviar su evaluación. Título o comentario no se encuentra."
"Not able to submit your review. Posting review for this seller is not allowed.","No es capaz de enviar su evaluación. No se permite la revisión de contabilización para este vendedor."
"Thanks! for rating the Seller.","¡Gracias! para la calificación del vendedor."
"All","Todas"
"Name","Nombre"
"A-Z","ARIZONA"
"Z-A","Z-A"
"Price","Precio"
"Low to High","Bajo a alto"
"High to Low","De alto a bajo"
"Ascending","ascendente"
"Descending","descendente"
"All Products","Todos los productos"
"Customer already registered.","El cliente ya registrado."
"An error occurred .","Ocurrió un error ."
"Success.","Éxito."
"Last order was not completed.","Última orden no se completó."
"Can't apply voucher code on this cart.","No se puede aplicar código de cupón en esta compra."
"An error occurred while adding item to wishlist: %1","Se produjo un error al agregar elemento a la lista de deseos: 1%"
"Your review has been accepted for moderation.","Su opinión ha sido aceptado para su moderación."
"Review by %1","Revisión por 1%"
"(Posted on %1)","(Publicado el% 1)"
"--Select Category--","--Selecciona una categoría--"
"Order Successfully Created","Solicitar creó correctamente"
