"Top Sliders","Top Sliders"
"Slider","Glissière"
"Top Banners","Top bannières"
"Banner","Bannière"
"Special Products","Produits speciaux"
"New Arrivals","Nouvelles Arrivées"
"Best Sellers","meilleures ventes"
"Login Successful.","Connexion réussie."
"This is a required field.","Ceci est un champ obligatoire."
"Registration Successful.","Inscription réussi."
"Cannot create user account.","Impossible de créer compte d'utilisateur."
"Email Id is required.","Id Email est requis."
"Starting at","À partir de"
"Something went wrong","Quelque chose a mal tourné"
"Please select a category.","Veuillez sélectionner une catégorie."
"Product not found.","Produit non trouvé."
"Product Id is required.","Code produit est nécessaire."
"Links","Liens"
"N/A","N / A"
"No","Non"
"was added to your shopping cart.","a été ajouté à votre panier."
"Cannot add the item to shopping cart.","Impossible d'ajouter l'article à votre panier."
"Item has been updated in your cart successfully.","L'élément a été mis à jour dans votre panier avec succès."
"Quantity has not been set for this product.","Quantité n'a pas été fixée pour ce produit."
"Cannot update shopping cart.","Ne peut pas mettre à jour le panier."
"Something went wrong.","Quelque chose a mal tourné."
"Quantity","Quantité"
"Item has been removed from your cart successfully.","L'élément a été retiré de votre panier avec succès."
"Cannot remove the item.","Impossible de supprimer l'élément."
"Prefix","Préfixe"
"First Name","Prénom"
"Middle Name/Initial","Deuxième Nom / Initiale"
"Last Name","Nom de famille"
"Suffix","Suffixe"
"Company","Entreprise"
"Address","Adresse"
"Address 2","Adresse 2"
"City","Ville"
"Country","Pays"
"State/Province","État / Province"
"Zip/Postal Code","Zip / code postal"
"Telephone","Téléphone"
"Fax","Fax"
"Please select a country.","S'il vous plaît choisir un pays."
"Customer is not looged in","Client ne looged en"
"Address not selected.","Adresse pas sélectionnée."
"The customer address is not valid.","L'adresse du client est pas valide."
"Cart information loaded successfully","informations panier chargé avec succès"
"No Shipping Method Required","Non Méthode d'expédition requise"
"No Shipping Method Available","Non disponible Méthode d'expédition"
"Shipping method was set successfully.","la méthode d'expédition a été mis avec succès."
"An error occurred while selecting shipping method.","Une erreur est survenue lors de la méthode d'expédition sélection."
"Please login to view your addresses.","S'il vous plaît vous connecter pour voir vos adresses."
"Address has been updated successfully.","Adresse a été mis à jour avec succès."
"Address has been added successfully.","Adresse a été ajouté avec succès."
"Please login to add/update your addresses.","S'il vous plaît vous connecter pour ajouter / mettre à jour vos adresses."
"An error occurred while saving billing address.","Une erreur est survenue lors de l'enregistrement adresse de facturation."
"An error occurred while saving shipping address.","Une erreur est survenue lors de l'enregistrement adresse de livraison."
"No Payment methods is enabled","Aucun mode de paiement est activée"
"No Payment methods has been configured","Aucun mode de paiement a été configuré"
"Order created successfully","Ordre créé avec succès"
"Your information has been updated successfully.","Vos informations ont été mises à jour."
"Invalid email address.","Adresse e-mail invalide."
"If there is an account associated with your email you will receive an email with a link to reset your password.","S'il y a un compte associé à votre email, vous recevrez un e-mail avec un lien pour réinitialiser votre mot de passe."
"Please enter your email.","S'il vous plaît entrer votre e-mail."
"Please login to view your orders.","S'il vous plaît vous connecter pour voir vos commandes."
"Orders not found.","Les ordres non trouvé."
"Please login to view your order details.","S'il vous plaît vous connecter pour voir les détails de votre commande."
"Please select an order.","S'il vous plaît sélectionner une commande."
"Subtotal","Total"
"Shipping & Handling","Expédition et de manutention"
"Discount","Remise"
"Tax","Impôt"
"Grand Total","somme finale"
"Order created by this cart","Ordre créé par ce panier"
"Voucher has been applied to your cart successfully.","Bon a été appliqué à votre panier avec succès."
"Coupon code is not valid.","Code promo n'est pas valide."
"Voucher has been removed from your cart successfully.","Bon a été retiré de votre panier avec succès."
"Please login to add this product to wishlist.","S'il vous plaît vous connecter pour ajouter ce produit à la liste."
"Please select a product","S'il vous plaît sélectionner un produit"
"Cannot specify product.","Impossible de spécifier le produit."
"%1$s has been added to your wishlist.","% 1 $ s a été ajouté à votre liste."
"An error occurred while adding item to wishlist: %s","Une erreur est survenue lors de l'ajout à la liste de l'article:% s"
"Requested wishlist doesn't exist","Demandé liste n'existe pas"
"SKU","SKU"
"Wishlist could not be created.","Liste n'a pas pu être créé."
"An error occurred while deleting the item from wishlist.","Une erreur est survenue lors de la suppression de l'élément de liste."
"Wishlist item has been successfully removed.","l'article a été supprimé liste avec succès."
"An error occurred while deleting the item from wishlist: %s","Une erreur est survenue lors de la suppression de l'article de la liste de souhaits:% s"
"Item has been successfully added to the cart.","L'élément a été ajouté avec succès à votre panier."
"Incl. Tax","Incl. Impôt"
"Unable to post the review.","Impossible de poster l'examen."
"Recent Products","Produits recents"
"From","De"
"To","À"
"Mobile number and country code is Mandatory.","numéro de téléphone mobile et le code pays est obligatoire."
"Country Code is Mandatory.","Code du pays est obligatoire."
"This mobile number has already been registered with an other account.","Ce numéro de téléphone mobile a déjà été enregistré avec un autre compte."
"Shipping Method is disabled.","Méthode d'expédition est désactivé."
"Mobile Number is blank","Numéro de mobile est vide"
"Mobile Number already exist","Numéro de mobile existe déjà"
"Empty Mobile number.","Vider le numéro mobile."
"Empty Country Code.","Vider Code du pays."
"Empty Password.","Vide mot de passe."
"The password has been changed successfully.","Le mot de passe a été changé avec succès."
"Password cannot be updated.","Mot de passe ne peut pas être mis à jour."
"An account using this email address does not exists.","Un compte en utilisant cette adresse e-mail n'existe pas."
"The account has been mapped for the fingerprint login in this device.","Le compte a été cartographié pour la connexion d'empreintes digitales dans cet appareil."
"The account can not be mapped for the fingerprint login in this device.","Le compte ne peut pas être mis en correspondance pour la connexion d'empreintes digitales dans cet appareil."
"Customer data is not available.","Les données du client ne sont pas disponibles."
"Your account isn\'t available at this time.","Votre compte n \ 'est disponible à ce moment."
"This Unique Id is not linked with the Email id.","Cet identifiant unique est pas lié avec l'identifiant de messagerie."
"This Mobile number is not linked with any account.","Ce numéro mobile n'est pas lié à un compte."
"Mobile Number or country code is not available.","Numéro de téléphone mobile ou un code de pays ne sont pas disponibles."
"Mobile number exists into the database..","numéro de téléphone mobile existe dans la base de données .."
"Mobile number does not exists into the database..","numéro de téléphone mobile n'existe pas dans la base de données .."
"Not Mentioned","Pas mentionné"
"Marektplace Module is not enabled","Marektplace Module n'est pas activé"
"Seller id is missing","id Le vendeur est manquant"
"Seller not found","Le vendeur n'a pas trouvé"
"Please login to write review.","Veuillez vous connecter pour écrire un commentaire."
