"Top Sliders","Top Sliders"
"Slider","schuif"
"Top Banners","Top Banners"
"Banner","banier"
"Special Products","speciale producten"
"New Arrivals","New Arrivals"
"Best Sellers","best sellers"
"Login Successful.","Succesvol ingelogd."
"This is a required field.","Dit is een verplicht veld."
"Registration Successful.","Registratie gelukt."
"Cannot create user account.","Kan account niet maken."
"Email Id is required.","E-id is vereist."
"Starting at","Vanaf"
"Something went wrong","Er is iets fout gegaan"
"Please select a category.","Selecteer een categorie."
"Product not found.","Product niet gevonden."
"Product Id is required.","Product Legitimatie is verplicht."
"Links","Links"
"N/A","N / A"
"No","Nee"
"was added to your shopping cart.","werd aan uw winkelwagen toegevoegd."
"Cannot add the item to shopping cart.","Kan het item niet toe te voegen aan winkelwagen."
"Item has been updated in your cart successfully.","Item is bijgewerkt in uw winkelwagentje met succes."
"Quantity has not been set for this product.","Hoeveelheid is niet ingesteld voor dit product."
"Cannot update shopping cart.","Can not update shopping cart."
"Something went wrong.","Er is iets fout gegaan."
"Quantity","Aantal stuks"
"Item has been removed from your cart successfully.","Item is verwijderd uit uw winkelwagentje met succes."
"Cannot remove the item.","Kan het item niet verwijderen."
"Prefix","Voorvoegsel"
"First Name","Voornaam"
"Middle Name/Initial","Tweede naam / initiaal"
"Last Name","Achternaam"
"Suffix","Achtervoegsel"
"Company","Bedrijf"
"Address","Adres"
"Address 2","Adres 2"
"City","stad"
"Country","land"
"State/Province","Staat / Provincie"
"Zip/Postal Code","Zip / Postal Code"
"Telephone","Telefoon"
"Fax","Fax"
"Please select a country.","Selecteer alstublieft een land."
"Customer is not looged in","Klant is niet looged in"
"Address not selected.","Adres niet geselecteerd."
"The customer address is not valid.","Het adres van de klant is niet geldig."
"Cart information loaded successfully","Kar informatie met succes geladen"
"No Shipping Method Required","Geen Verzendmethode Required"
"No Shipping Method Available","Geen Verzendmethode Beschikbaar"
"Shipping method was set successfully.","Het verschepen methode is succesvol ingesteld."
"An error occurred while selecting shipping method.","Fout bij het selecteren verzendmethode."
"Please login to view your addresses.","Log in om adressen te bekijken."
"Address has been updated successfully.","Adres is succesvol bijgewerkt."
