"Top Sliders","Top Sliders"
"Slider","Suwak"
"Top Banners","Top Banners"
"Banner","Transparent"
"Special Products","produkty specjalne"
"New Arrivals","Nowości"
"Best Sellers","Bestsellery"
"Login Successful.","Logowanie zakończone sukcesem."
"This is a required field.","To pole jest wymagane."
"Registration Successful.","Pomyślnie zarejestrowano."
"Cannot create user account.","Nie można utworzyć konto użytkownika."
"Email Id is required.","E-mail jest wymagany Id."
"Starting at","Zaczynać od"
"Something went wrong","Coś poszło nie tak"
"Please select a category.","Proszę wybierz kategorie."
"Product not found.","Produkt nie znaleziony."
"Product Id is required.","Id produktu jest wymagana."
"Links","Spinki do mankietów"
"N/A","N / A"
"No","Nie"
"was added to your shopping cart.","został dodany do koszyka."
"Cannot add the item to shopping cart.","Nie można dodać element na zakupy wózek."
"Item has been updated in your cart successfully.","Element został zaktualizowany w koszyku pomyślnie."
"Quantity has not been set for this product.","Ilość nie została ustalona dla tego produktu."
"Cannot update shopping cart.","Nie można aktualizować koszyk na zakupy."
"Something went wrong.","Coś poszło nie tak."
"Quantity","Ilość"
"Item has been removed from your cart successfully.","Element został usunięty z koszyka pomyślnie."
"Cannot remove the item.","Nie można usunąć elementu."
"Prefix","Prefiks"
"First Name","Imię"
"Middle Name/Initial","Drugie imię / Początkowa"
"Last Name","Nazwisko"
"Suffix","Przyrostek"
"Company","Firma"
"Address","Adres"
"Address 2","adres 2"
"City","Miasto"
"Country","Kraj"
"State/Province","Stan / Prowincja"
"Zip/Postal Code","Zip / Postal Code"
"Telephone","Telefon"
"Fax","Faks"
"Please select a country.","Proszę wybrać kraj."
"Customer is not looged in","Klient nie jest w looged"
"Address not selected.","Adres nie wybiera."
"The customer address is not valid.","Adres klienta nie jest ważna."
"Cart information loaded successfully","Informacje Koszyk załadowane z powodzeniem"
"No Shipping Method Required","Nie Wysyłki metoda Wymagane"
"No Shipping Method Available","Nie Sposób wysyłki Dostępny"
"Shipping method was set successfully.","Wysyłki metoda została ustawiona pomyślnie."
"An error occurred while selecting shipping method.","Wystąpił błąd przy wyborze sposobu wysyłki."
"Please login to view your addresses.","Proszę się zalogować, aby zobaczyć adresy."
"Address has been updated successfully.","Adres został pomyślnie zaktualizowany."
"Address has been added successfully.","Adres został dodany pomyślnie."
"Please login to add/update your addresses.","Proszę się zalogować, aby dodać / zaktualizować swoje adresy."
"An error occurred while saving billing address.","Wystąpił błąd podczas zapisywania adres rozliczeniowy."
"An error occurred while saving shipping address.","Wystąpił błąd podczas zapisywania adresu wysyłki."
