"Top Sliders","Top Sliders"
"Slider","Slider"
"Top Banners","Principais Banners"
"Banner","Bandeira"
"Special Products","Produtos especiais"
"New Arrivals","Novas chegadas"
"Best Sellers","Mais vendidos"
"Login Successful.","Login bem-sucedido."
"This is a required field.","Este é um campo obrigatório."
"Registration Successful.","Registro bem-sucedido."
"Cannot create user account.","Não é possível criar conta de usuário."
"Email Id is required.","E-mail Id é necessária."
"Starting at","Começando às"
"Something went wrong","Algo deu errado"
"Please select a category.","Por favor, selecione uma categoria."
"Product not found.","Produto não encontrado."
"Product Id is required.","ID de produto é necessária."
"Links","ligações"
"N/A","N / D"
"No","Não"
"was added to your shopping cart.","foi adicionado ao seu carrinho de compras."
"Cannot add the item to shopping cart.","Não é possível adicionar o item ao carrinho de compras."
"Item has been updated in your cart successfully.","O item foi atualizado em seu carrinho com sucesso."
"Quantity has not been set for this product.","Quantidade não foi definido para este produto."
"Cannot update shopping cart.","Não é possível atualizar carrinho de compras."
"Something went wrong.","Algo deu errado."
"Quantity","Quantidade"
"Item has been removed from your cart successfully.","O item foi removido do seu carrinho com sucesso."
"Cannot remove the item.","Não é possível remover o item."
"Prefix","Prefixo"
"First Name","Primeiro nome"
"Middle Name/Initial","Nome do meio / inicial"
"Last Name","Último nome"
"Suffix","Sufixo"
"Company","Companhia"
"Address","Endereço"
"Address 2","Endereço 2"
"City","Cidade"
"Country","País"
"State/Province","Estado / Província"
"Zip/Postal Code","CEP / Código Postal"
"Telephone","Telefone"
"Fax","Fax"
"Please select a country.","Por favor, selecione um País: Brasil."
"Customer is not looged in","Cliente não é looged em"
"Address not selected.","Endereço não selecionado."
"The customer address is not valid.","O endereço do cliente não é válido."
"Cart information loaded successfully","Carrinho informações carregado com êxito"
"No Shipping Method Required","No método de envio Obrigatório"
"No Shipping Method Available","Sem Remessa método disponível"
"Shipping method was set successfully.","método de envio foi definida com êxito."
"An error occurred while selecting shipping method.","Ocorreu um erro ao selecionar o método de envio."
"Please login to view your addresses.","Por favor login para ver os seus endereços."
"Address has been updated successfully.","Endereço foi atualizado com sucesso."
"Address has been added successfully.","Endereço foi adicionado com sucesso."
"Please login to add/update your addresses.","Por favor login para adicionar / atualizar seus endereços."
"An error occurred while saving billing address.","Ocorreu um erro ao salvar endereço de faturamento."
"An error occurred while saving shipping address.","Ocorreu um erro ao salvar endereço de entrega."
"No Payment methods is enabled","Nenhum método de pagamento está habilitado"
"No Payment methods has been configured","Nenhum método de pagamento foi configurado"
"Order created successfully","Ordem criada com sucesso"
"Your information has been updated successfully.","Suas informações foram atualizadas com sucesso."
"Invalid email address.","Endereço de email invalido."
"If there is an account associated with your email you will receive an email with a link to reset your password.","Se houver uma conta associada ao seu e-mail, você receberá um e-mail com um link para redefinir sua senha."
"Please enter your email.","Por favor introduza o seu e-mail."
"Please login to view your orders.","Por favor login para ver as suas ordens."
"Orders not found.","Os pedidos não encontrados."
"Please login to view your order details.","Por favor login para visualizar os detalhes do pedido."
"Please select an order.","Por favor, selecione uma ordem."
"Subtotal","Subtotal"
"Shipping & Handling","Envio & manipulação"
"Discount","Desconto"
"Tax","imposto"
"Grand Total","Total geral"
"Order created by this cart","Ordem criada por este carrinho"
"Voucher has been applied to your cart successfully.","Comprovante foi aplicado ao seu carrinho com sucesso."
"Coupon code is not valid.","código do cupom não é válido."
"Voucher has been removed from your cart successfully.","Comprovante foi removido do seu carrinho com sucesso."
"Please login to add this product to wishlist.","Por favor login para adicionar o produto ao carrinho."
"Please select a product","Selecione um produto"
"Cannot specify product.","Não é possível especificar produto."
"%1$s has been added to your wishlist.","% 1 $ s foi adicionado à sua lista de desejos."
"An error occurred while adding item to wishlist: %s","Ocorreu um erro ao adicionar item à lista:% s"
"Requested wishlist doesn't exist","lista solicitada não existe"
"SKU","SKU"
"Wishlist could not be created.","Lista de Desejos não pôde ser criado."
"An error occurred while deleting the item from wishlist.","Ocorreu um erro ao eliminar o item da lista."
"Wishlist item has been successfully removed.","item de lista foi removido com sucesso."
"An error occurred while deleting the item from wishlist: %s","Ocorreu um erro ao eliminar o item da lista:% s"
"Item has been successfully added to the cart.","O item foi adicionado com sucesso ao carrinho."
"Incl. Tax","Incl. imposto"
"Unable to post the review.","Incapaz de postar a revisão."
"Recent Products","produtos recentes"
"From","De"
"To","Para"
"Mobile number and country code is Mandatory.","número e país móvel de código é obrigatória."
"Country Code is Mandatory.","Código do país é obrigatório."
"This mobile number has already been registered with an other account.","Este número de telemóvel já foi registrado com uma outra conta."
"Shipping Method is disabled.","Método do transporte está desativado."
"Mobile Number is blank","Número de celular está em branco"
"Mobile Number already exist","Número de celular já existem"
"Empty Mobile number.","Esvaziar número Mobile."
"Empty Country Code.","Esvaziar Código do país."
"Empty Password.","Senha vazia."
"The password has been changed successfully.","A senha foi alterada com sucesso."
"Password cannot be updated.","A senha não pode ser atualizado."
"An account using this email address does not exists.","Uma conta usando esse endereço de e-mail não existe."
"The account has been mapped for the fingerprint login in this device.","A conta foi mapeada para o login de impressões digitais neste dispositivo."
"The account can not be mapped for the fingerprint login in this device.","A conta não pode ser mapeado para o login de impressões digitais neste dispositivo."
"Customer data is not available.","Os dados do cliente não está disponível."
"Your account isn\'t available at this time.","Sua conta isn \ 't disponível no momento."
"This Unique Id is not linked with the Email id.","Este Unique ID não está ligada com o e-mail id."
"This Mobile number is not linked with any account.","Este número móvel não está ligada a qualquer conta."
"Mobile Number or country code is not available.","Móvel Número ou código de país não está disponível."
"Mobile number exists into the database..","número móvel existe na base de dados .."
"Mobile number does not exists into the database..","número de telemóvel não existe no banco de dados .."
"Not Mentioned","Não mencionado"
"Marektplace Module is not enabled","Marektplace Módulo não está habilitado"
"Seller id is missing","Vendedor id está faltando"
"Seller not found","Vendedor não encontrado"
"Please login to write review.","Por favor login para avaliação escrita."
"Not able to submit your review. Title or comment is missing.","Não é capaz de submeter a sua análise. Título ou comentário está faltando."
"Not able to submit your review. Posting review for this seller is not allowed.","Não é capaz de submeter a sua análise. revisão postagem para este vendedor não é permitido."
"Thanks! for rating the Seller.","Obrigado! para a classificação do vendedor."
"All","Todos"
"Name","Nome"
"A-Z","A-Z"
"Z-A","Z-A"
"Price","Preço"
"Low to High","Baixo para alto"
"High to Low","Decrescente"
"Ascending","Crescente"
"Descending","descendente"
"All Products","Todos os produtos"
"Customer already registered.","Cliente já registrado."
"An error occurred .","Um erro ocorreu ."
"Success.","Sucesso."
"Last order was not completed.","Último pedido não foi concluída."
"Can't apply voucher code on this cart.","Não é possível aplicar código do voucher neste carrinho."
"An error occurred while adding item to wishlist: %1","Ocorreu um erro ao adicionar item à lista:% 1"
"Your review has been accepted for moderation.","Sua opinião foi aceite pela moderação."
"Review by %1","Revisão por 1%"
"(Posted on %1)","(Posted on% 1)"
"--Select Category--","--Selecione a Categoria--"
"Order Successfully Created","Fim com sucesso Criado"
"Hi Thanks for your interest. Keep shopping with us to become our premium customer.","Graças Oi para seu interesse. Mantenha compras com a gente para se tornar nosso cliente premium."
"Order status update","atualização de status do pedido"
"Hi Your order status has been changed to {{STATUS}}.","Oi seu status do pedido foi alterado para {{status}}."
"Hurry!","Pressa!"
"Hi","Complete o seu fim de obter benefícios extra em seu próximo pedido."
"Best Seller Products","Best Seller produtos"
"Featured Products","produtos em destaque"
"New Products","Novos Produtos"
"From a category","A partir de uma categoria"
"Custom Products","produtos personalizados"
"Mobile App Builder","Mobile App Builder"
"Settings saved successfully.","Configurações salvas com sucesso."
"Firebase Server key is not available","Firebase chave Server não está disponível"
"Notificaton Send successfully","Notificaton Enviar com sucesso"
"Data saved successfully.","Os dados salvos com sucesso."
"Component deleted successfully.","Componente excluído com sucesso."
"Banner data deleted successfully.","Dados da bandeira excluído com sucesso."
"Layout deleted successfully.","Disposição excluído com sucesso."
"Data has been saved successfully.","Dados foi salva com sucesso."
"Settings saved successfully","Configurações salvas com sucesso"
"Edit Layout","Editar layout"
"Knowband Mobile App Builder is not enabled on this store.","Knowband Mobile App Builder não está habilitado sobre esta loja."
"Requested API not available","API solicitado não está disponível"
"Requested Api method not available","método de API solicitado não está disponível"
"Save Settings","Salvar configurações"
"Edit","Editar"
"Edit Name","Editar nome"
"Delete","Excluir"
"View Details","Ver detalhes"
"Layout ID","Disposição ID"
"Layout Name","Nome de layout"
"Action","Açao"
"Home Page Layout Settings","Página inicial Configurações de layout"
"Title","Título"
"URL","URL"
"Upload","Envio"
"Image Type","Tipo de imagem"
"Home","Casa"
"Category","Categoria"
"Product","produtos"
"Redirect Activity","Redirect Atividade"
"Disable","Desativar"
"Enable","Habilitar"
"Status","estado"
"Banners Settings","Configurações banners"
"ID","EU IRIA"
"Device Type","Tipo de dispositivo"
"Both Android/iOS","Ambos Android / iOS"
"Android","andróide"
"iOS","iOS"
"Sent Date","Data de envio"
"Push Notification History","História Push Notification"
"Return Statuses","retorno status"
"Coupon Code","Código do cupom"
"Customer Email","Email do cliente"
"Device","Dispositivo"
"Coupon Used","Cupom Usado"
"Yes","sim"
"Coupon Generated On","Cupom Gerado em"
"Menu Settings","Definições de menu"
"Push Notification Settings","Configurações Push Notification"
"Slider Settings","configurações do controle deslizante"
"Google Login Settings","Configurações de login do Google"
"Facebook Login Settings","Facebook Configurações de login"
"General Settings","Configurações Gerais"
"New Arrival","Nova chegada"
"Best Seller","Mais vendidos"
"Statistics","Estatisticas"
