"Top Sliders","Top Sliders"
"Slider","cursor"
"Top Banners","Top Bannere"
"Banner","stindard"
"Special Products","Produse speciale"
"New Arrivals","Sosiri noi"
"Best Sellers","Cele mai vandute"
"Login Successful.","Autentificare reușită."
"This is a required field.","Acest câmp este obligatoriu."
"Registration Successful.","Inregistrare reusita."
"Cannot create user account.","Nu se poate crea un cont de utilizator."
"Email Id is required.","este necesar ID-ul de e-mail."
"Starting at","Începând de la"
"Something went wrong","Ceva n-a mers bine"
"Please select a category.","Vă rugăm să selectați o categorie."
"Product not found.","Produsul nu a fost găsit."
"Product Id is required.","Id-ul produsului este necesar."
"Links","Link-uri"
"N/A","N / A"
"No","Nu"
"was added to your shopping cart.","S-a adăugat în coșul de cumpărături."
"Cannot add the item to shopping cart.","Nu se poate adăuga elementul în coș."
"Item has been updated in your cart successfully.","Postul a fost actualizat în coșul de succes."
"Quantity has not been set for this product.","Cantitatea nu a fost stabilit pentru acest produs."
"Cannot update shopping cart.","Nu se poate actualiza pentru coșul de cumpărături."
"Something went wrong.","Ceva n-a mers bine."
"Quantity","Cantitate"
"Item has been removed from your cart successfully.","Postul a fost eliminat din coșul de succes."
"Cannot remove the item.","Nu se poate elimina elementul."
"Prefix","Prefix"
"First Name","Nume"
"Middle Name/Initial","Al Doilea Prenume / Inițiala"
"Last Name","Numele de familie"
"Suffix","Sufix"
"Company","Companie"
"Address","Abordare"
"Address 2","Adresa 2"
"City","Oraș"
"Country","Țară"
"State/Province","Stat / Provincie"
"Zip/Postal Code","Zip / Cod Poștal"
"Telephone","Telefon"
"Fax","Fax"
"Please select a country.","Vă rugăm să selectați o țară."
"Customer is not looged in","Clientul nu este looged în"
"Address not selected.","Adresa nu a fost selectat."
"The customer address is not valid.","Adresa de client nu este validă."
"Cart information loaded successfully","Informații Coș încărcate cu succes"
"No Shipping Method Required","Nu Transport Metoda Necesar"
"No Shipping Method Available","Nici Metoda de expediere disponibilă"
"Shipping method was set successfully.","Metoda de livrare a fost stabilită cu succes."
"An error occurred while selecting shipping method.","A apărut o eroare în timp ce selectați metoda de transport maritim."
"Please login to view your addresses.","Vă rugăm să login pentru a vizualiza adresele."
"Address has been updated successfully.","Adresa a fost actualizat cu succes."
"Address has been added successfully.","Adresa a fost adaugata cu succes."
"Please login to add/update your addresses.","Conectați-vă pentru a adăuga / actualiza adresele."
"An error occurred while saving billing address.","A apărut o eroare la salvarea adresei de facturare."
"An error occurred while saving shipping address.","A apărut o eroare la salvarea adresa de livrare."
"No Payment methods is enabled","Nicio metodă de plată este activată"
"No Payment methods has been configured","Nu Metode de plată a fost configurată"
"Order created successfully","Comanda a creat cu succes"
"Your information has been updated successfully.","Informațiile dvs. au fost actualizate cu succes."
"Invalid email address.","Adresa email invalida."
