"Top Sliders","top Sliders"
"Slider","slider"
"Top Banners","top bannery"
"Banner","prápor"
"Special Products","špeciálne produkty"
"New Arrivals","Novo prichádzajúci"
"Best Sellers","Najlepšie predávané"
"Login Successful.","Prihlásenie úspešné."
"This is a required field.","Toto pole je povinné."
"Registration Successful.","Registrácia úspešná."
"Cannot create user account.","Nemožno vytvoriť užívateľský účet."
"Email Id is required.","Je potrebné Id e-mail."
"Starting at","začína na"
"Something went wrong","Niečo sa pokazilo"
"Please select a category.","Prosím, vyberte kategóriu."
"Product not found.","Produkt nebol nájdený."
"Product Id is required.","je vyžadované ID produktu."
"Links","odkazy"
"N/A","N / A"
"No","žiadny"
"was added to your shopping cart.","bol pridaný do nákupného košíka."
"Cannot add the item to shopping cart.","Nemožno pridať položku do košíka."
"Item has been updated in your cart successfully.","Položka bola aktualizovaná v košíku úspešne."
"Quantity has not been set for this product.","Množstvo nebolo nastavené pre tento produkt."
"Cannot update shopping cart.","Nemožno aktualizovať nákupného košíka."
"Something went wrong.","Niečo sa pokazilo."
"Quantity","množstvo"
"Item has been removed from your cart successfully.","Položka bola odstránená z košíka úspešne."
"Cannot remove the item.","Nemožno odstrániť položku."
"Prefix","prefix"
"First Name","Krstné meno"
"Middle Name/Initial","Prostredné meno / Initial"
"Last Name","Priezvisko"
"Suffix","prípona"
"Company","spoločnosť"
"Address","adresa"
"Address 2","adresa 2"
"City","veľkomesto"
"Country","Krajina"
"State/Province","Štát Provincia /"
"Zip/Postal Code","Zip / Postal Code"
"Telephone","telefónne"
"Fax","fax"
"Please select a country.","Vyberte krajinu."
"Customer is not looged in","Zákazník nie je looged v"
"Address not selected.","Adresa nie je vybraná."
"The customer address is not valid.","Adresa zákazník nie je platný."
"Cart information loaded successfully","Košík informácie úspešne nahraný"
"No Shipping Method Required","Nie Prepravné Required Method"
"No Shipping Method Available","Nie Spôsob dopravy je k dispozícii"
"Shipping method was set successfully.","Lodné metóda bola úspešne nastavená."
"An error occurred while selecting shipping method.","Pri výbere spôsobu dopravy došlo k chybe."
"Please login to view your addresses.","Prosím prihláste sa na zobrazenie adresy."
"Address has been updated successfully.","Adresa bola úspešne aktualizovaná."
"Address has been added successfully.","Adresa bola úspešne pridaná."
"Please login to add/update your addresses.","Prosím prihláste sa k pridanie / aktualizovať svoje adresy."
"An error occurred while saving billing address.","Pri ukladaní fakturačnej adresy došlo k chybe."
"An error occurred while saving shipping address.","Pri ukladaní dodaciu adresu došlo k chybe."
"No Payment methods is enabled","Žiadne vyplatenie je povolené"
"No Payment methods has been configured","Žiadne vyplatenie bola nakonfigurovaná"
"Order created successfully","Objednávka bola úspešne vytvorená"
"Your information has been updated successfully.","Vaše informácie boli úspešne aktualizované."
"Invalid email address.","Neplatná emailová adresa."
"If there is an account associated with your email you will receive an email with a link to reset your password.","Ak je účet spojený s e-mailu obdržíte e-mail s odkazom na obnovenie hesla."
"Please enter your email.","Prosím, zadajte svoj e-mail."
"Please login to view your orders.","Prosím prihláste sa pre zobrazenie vašich objednávok."
"Orders not found.","Objednávky nebol nájdený."
"Please login to view your order details.","Prosím prihláste sa pre zobrazenie podrobností objednávky."
"Please select an order.","Prosím, vyberte príkaz."
"Subtotal","medzisúčet"
"Shipping & Handling","Poštovné a balné"
"Discount","zľava"
"Tax","daň"
"Grand Total","Úhrn"
"Order created by this cart","Objednať vytvorený týmto košíka"
"Voucher has been applied to your cart successfully.","Poukážka bola aplikovaná do košíka úspešne."
"Coupon code is not valid.","Kupon kód nie je platný."
"Voucher has been removed from your cart successfully.","Poukážka bola odstránená z košíka úspešne."
"Please login to add this product to wishlist.","Prosím prihláste sa na pridanie tohto produktu do zoznamu želaní."
"Please select a product","Vyberte si výrobok"
"Cannot specify product.","Nemožno určiť produkt."
"%1$s has been added to your wishlist.","% 1 $ s bol pridaný do vášho želania."
"An error occurred while adding item to wishlist: %s","Keď do zoznamu želaní došlo k chybe:% s"
"Requested wishlist doesn't exist","Požadované zoznam prianí neexistuje"
"SKU","SKU"
"Wishlist could not be created.","Prianie nemohol byť vytvorený."
"An error occurred while deleting the item from wishlist.","Pri mazaní položky zo zoznamu želaní došlo k chybe."
"Wishlist item has been successfully removed.","Prianie položka bola úspešne odstránená."
"An error occurred while deleting the item from wishlist: %s","Pri mazaní položky zo zoznamu želaní došlo k chybe:% s"
"Item has been successfully added to the cart.","Položka bola úspešne pridaná do košíka."
"Incl. Tax","Vr. daň"
"Unable to post the review.","Nemožno pridať recenziu."
"Recent Products","Nedávne produkty"
"From","z"
"To","na"
"Mobile number and country code is Mandatory.","Mobilné číslo a kód krajiny je povinný."
"Country Code is Mandatory.","Country Code je povinné."
"This mobile number has already been registered with an other account.","Toto číslo mobilného telefónu už bola registrovaná s iným účtom."
"Shipping Method is disabled.","Spôsob dopravy je zakázané."
"Mobile Number is blank","Číslo mobilného telefónu je prázdna"
"Mobile Number already exist","Číslo mobilného telefónu už existujú"
"Empty Mobile number.","Vyprázdniť Mobil."
"Empty Country Code.","Vyprázdniť kód krajiny."
"Empty Password.","Prázdna heslá."
"The password has been changed successfully.","Heslo bolo úspešne zmenené."
"Password cannot be updated.","Heslo nie je možné aktualizovať."
"An account using this email address does not exists.","Účet pomocou tejto e-mailovej adresy neexistuje."
"The account has been mapped for the fingerprint login in this device.","Účet bol mapovaný pre prihlásenie odtlačkov prstov v tomto prístroji."
"The account can not be mapped for the fingerprint login in this device.","Účet nemôže byť mapované na prihlásenie odtlačkov prstov v tomto prístroji."
"Customer data is not available.","zákaznícke dáta nie sú k dispozícii."
"Your account isn\'t available at this time.","Váš účet ISN \ 't k dispozícii v tomto okamihu."
"This Unique Id is not linked with the Email id.","Toto Id Unique nie je prepojený s e-mailovej adresy."
"This Mobile number is not linked with any account.","Toto Mobil nie je spojený so žiadnym účtom."
"Mobile Number or country code is not available.","Číslo mobilného telefónu alebo kód krajiny nie je k dispozícii."
"Mobile number exists into the database..","Číslo mobilného telefónu existuje do databázy .."
"Mobile number does not exists into the database..","Mobil neexistuje do databázy .."
"Not Mentioned","Nespomenuté"
"Marektplace Module is not enabled","Marektplace Modul nie je povolený"
"Seller id is missing","Predajca id chýba"
"Seller not found","Predávajúci nebol nájdený"
"Please login to write review.","Prosím prihláste sa na preskúmanie zápisu."
"Not able to submit your review. Title or comment is missing.","Nie je schopný predložiť svoj názor. Názov alebo komentár chýba."
"Not able to submit your review. Posting review for this seller is not allowed.","Nie je schopný predložiť svoj názor. preskúmanie Vysielanie tohto predajcu nie je povolené."
"Thanks! for rating the Seller.","Vďaka! Pre ratingu predávajúcemu."
"All","všetko"
"Name","názov"
"A-Z","A-Z"
"Z-A","Z-A"
"Price","cena"
"Low to High","Od najnižšieho k najvyššiemu"
"High to Low","Od najvyššieho k najnižšiemu"
"Ascending","stúpajúca"
"Descending","zostupne"
"All Products","Všetky produkty"
"Customer already registered.","Zákazník už zaregistrované."
"An error occurred .","Nastala chyba ."
"Success.","Úspech."
"Last order was not completed.","Posledná objednávka nebola dokončená."
"Can't apply voucher code on this cart.","Nedá sa použiť kód voucheru na tomto vozíku."
"An error occurred while adding item to wishlist: %1","Keď do zoznamu želaní došlo k chybe:% 1"
"Your review has been accepted for moderation.","Vaše hodnotenie bolo prijaté na moderovanie."
"Review by %1","Preskúmanie% 1"
"(Posted on %1)","(Publikované% 1)"
"--Select Category--","--Vybrať kategóriu--"
"Order Successfully Created","Objednávka bola úspešne vytvorená"
"Hi Thanks for your interest. Keep shopping with us to become our premium customer.","Ahoj vďaka za Váš záujem. Udržiavať nakupovanie u nás, aby sa stal naším najlepším zákazníkom."
"Order status update","Aktualizácia stavu objednávky"
