"Top Sliders","Top Sliders"
"Slider","Slider"
"Top Banners","Top Banners"
"Banner","Baner"
"Special Products","Special Products"
"New Arrivals","Nyanlända"
"Best Sellers","Bästsäljare"
"Login Successful.","Inloggningen lyckades."
"This is a required field.","Detta är ett obligatoriskt fält."
"Registration Successful.","Registrering lyckad."
"Cannot create user account.","Det går inte att skapa användarkonton."
"Email Id is required.","E-id krävs."
"Starting at","Börjar vid"
"Something went wrong","Något gick fel"
"Please select a category.","Välj en kategori."
"Product not found.","Produkten kan ej hittas."
"Product Id is required.","Produkt-ID krävs."
"Links","länkar"
"N/A","N / A"
"No","Nej"
"was added to your shopping cart.","lades till i din kundvagn."
"Cannot add the item to shopping cart.","Det går inte att lägga till objektet i kundvagnen."
"Item has been updated in your cart successfully.","Punkt har uppdaterats i din varukorg framgångsrikt."
"Quantity has not been set for this product.","Kvantitet har inte ställts in för denna produkt."
"Cannot update shopping cart.","Det går inte att uppdatera kundvagnen."
"Something went wrong.","Något gick fel."
"Quantity","Kvantitet"
"Item has been removed from your cart successfully.","Punkt har tagits bort från din varukorg framgångsrikt."
"Cannot remove the item.","Det går inte att ta bort objektet."
"Prefix","Prefix"
"First Name","Förnamn"
"Middle Name/Initial","Mellannamn / Initial"
"Last Name","Efternamn"
"Suffix","Ändelse"
"Company","Företag"
"Address","Adress"
"Address 2","Adress 2"
"City","Stad"
"Country","Land"
"State/Province","State / Province"
"Zip/Postal Code","Zip / Postal Code"
"Telephone","Telefon"
"Fax","Fax"
"Please select a country.","Välj ett land."
"Customer is not looged in","Kunden har inte looged i"
"Address not selected.","Adress inte valt."
"The customer address is not valid.","Kunden adress är inte giltig."
"Cart information loaded successfully","I kundvagnen Information lästs"
"No Shipping Method Required","Ingen Sändningsmetod Krävs"
"No Shipping Method Available","Nej Sändningsmetod Tillgängliga"
"Shipping method was set successfully.","Sändningsmetod sattes framgångsrikt."
"An error occurred while selecting shipping method.","Ett fel inträffade vid välja sjöfarten metod."
"Please login to view your addresses.","Logga in för att visa dina adresser."
"Address has been updated successfully.","Adressen har uppdaterats."
"Address has been added successfully.","Adress har lagts till."
"Please login to add/update your addresses.","Logga in för att lägga till / uppdatera dina adresser."
"An error occurred while saving billing address.","Ett fel uppstod när du sparar faktureringsadress."
"An error occurred while saving shipping address.","Ett fel uppstod när du sparar leveransadress."
"No Payment methods is enabled","Ingen betalning metoder aktiverad"
"No Payment methods has been configured","Inga Betalningsmetoder har konfigurerats"
"Order created successfully","Order skapats"
"Your information has been updated successfully.","Din information har uppdaterats."
"Invalid email address.","Ogiltig e-postadress."
"If there is an account associated with your email you will receive an email with a link to reset your password.","Om det finns ett konto kopplat till din e-post får du ett e-postmeddelande med en länk för att återställa ditt lösenord."
"Please enter your email.","Ange din e-postadress."
"Please login to view your orders.","Logga in för att se dina order."
"Orders not found.","Beställningar hittades inte."
"Please login to view your order details.","Logga in för att se din beställning."
"Please select an order.","Välj en beställning."
"Subtotal","Delsumma"
"Shipping & Handling","Leverans och hantering"
"Discount","Rabatt"
"Tax","Beskatta"
"Grand Total","Totalsumma"
"Order created by this cart","Order skapad av denna vagn"
"Voucher has been applied to your cart successfully.","Voucher har tillämpats på din varukorg framgångsrikt."
"Coupon code is not valid.","Kupongkoden är inte giltig."
"Voucher has been removed from your cart successfully.","Voucher har tagits bort från din varukorg framgångsrikt."
"Please login to add this product to wishlist.","Logga in för att lägga till denna produkt till önskelistan."
"Please select a product","Välj en produkt"
"Cannot specify product.","Det går inte att ange produkt."
"%1$s has been added to your wishlist.","% 1 $ s har lagts till din önskelista."
"An error occurred while adding item to wishlist: %s","Ett fel inträffade vid tillsättning av produkten till i önskelistan:% s"
"Requested wishlist doesn't exist","Begärd önskelista existerar inte"
"SKU","SKU"
"Wishlist could not be created.","Önskelista kunde inte skapas."
"An error occurred while deleting the item from wishlist.","Ett fel uppstod när du tar bort objektet från önskelistan."
"Wishlist item has been successfully removed.","Önskelista objekt har tagits bort."
"An error occurred while deleting the item from wishlist: %s","Ett fel inträffade vid borttagning av objektet från önskelistan:% s"
"Item has been successfully added to the cart.","Objekt har lagts i varukorgen."
"Incl. Tax","Inkl. Beskatta"
"Unable to post the review.","Det går inte att lägga översynen."
"Recent Products","nya produkter"
"From","Från"
"To","Till"
"Mobile number and country code is Mandatory.","Mobilnummer och landskod är obligatoriskt."
"Country Code is Mandatory.","Landskod är obligatoriskt."
"This mobile number has already been registered with an other account.","Detta mobilnummer redan har registrerats med ett annat konto."
"Shipping Method is disabled.","Fraktsätt är inaktiverad."
"Mobile Number is blank","Mobilnummer är tom"
"Mobile Number already exist","Mobilnummer finns redan"
"Empty Mobile number.","Töm mobilnummer."
"Empty Country Code.","Töm landskod."
"Empty Password.","Tom lösenord."
"The password has been changed successfully.","Lösenordet har ändrats."
"Password cannot be updated.","Lösenord kan inte uppdateras."
"An account using this email address does not exists.","Ett konto med denna e-postadress inte existerar."
"The account has been mapped for the fingerprint login in this device.","Kontot har kartlagts för fingeravtrycksinloggning i den här enheten."
"The account can not be mapped for the fingerprint login in this device.","Kontot kan inte kartläggas för fingeravtrycksinloggning i den här enheten."
"Customer data is not available.","Kunddata är inte tillgänglig."
"Your account isn\'t available at this time.","Ditt konto eller hur \ 't finns tillgänglig just nu."
"This Unique Id is not linked with the Email id.","Detta unika ID är inte kopplat till e-id."
"This Mobile number is not linked with any account.","Denna Mobilnummer är inte kopplad med något konto."
"Mobile Number or country code is not available.","Mobilnummer eller landskod är inte tillgänglig."
"Mobile number exists into the database..","Mobilnummer finns i databasen .."
"Mobile number does not exists into the database..","Mobilnummer inte finns i databasen .."
"Not Mentioned","Inte nämnt"
"Marektplace Module is not enabled","Marektplace Module är inte aktiverat"
"Seller id is missing","Säljaren id saknas"
"Seller not found","Säljaren har inte funnit"
"Please login to write review.","Logga in för att skriva ett omdöme."
"Not able to submit your review. Title or comment is missing.","Det går inte att skicka in din recension. Titel eller kommentar saknas."
"Not able to submit your review. Posting review for this seller is not allowed.","Det går inte att skicka in din recension. Utstationering recension för denna säljare är inte tillåtet."
"Thanks! for rating the Seller.","Tack! för röstning säljaren."
"All","Allt"
"Name","namn"
"A-Z","A-Z"
"Z-A","Z-A"
"Price","Pris"
"Low to High","Lågt till högt"
"High to Low","Högt till Lågt"
"Ascending","Stigande"
"Descending","Nedåtgående"
"All Products","Alla produkter"
"Customer already registered.","Kunden redan registrerad."
"An error occurred .","Ett fel uppstod ."
"Success.","Framgång."
"Last order was not completed.","Senaste order slutfördes inte."
"Can't apply voucher code on this cart.","Det går inte att tillämpa kupongkod på denna vagn."
"An error occurred while adding item to wishlist: %1","Ett fel inträffade vid tillsättning av produkten till i önskelistan:% 1"
"Your review has been accepted for moderation.","Din recension har godkänts för moderering."
"Review by %1","Granskning av% 1"
"(Posted on %1)","(Publicerat% 1)"
"--Select Category--","--Välj kategori--"
"Order Successfully Created","Order har skapats"
"Hi Thanks for your interest. Keep shopping with us to become our premium customer.","Hej Tack för ditt intresse. Håll handla med oss ​​för att bli vår premium kund."
"Order status update","Order statusuppdatering"
"Hi Your order status has been changed to {{STATUS}}.","Hi Din orderstatus har ändrats till {{STATUS}}."
"Hurry!","Skynda!"
"Hi","Komplettera din för att få extra fördelar på din nästa beställning."
"Best Seller Products","Bestseller produkter"
"Featured Products","Utvalda produkter"
"New Products","Nya produkter"
"From a category","Från en kategori"
"Custom Products","Kundanpassade produkter"
"Mobile App Builder","Mobile App Builder"
"Settings saved successfully.","Inställningar sparats."
"Firebase Server key is not available","Firebase Server nyckeln inte är tillgänglig"
"Notificaton Send successfully","Notificaton Skicka framgångsrikt"
"Data saved successfully.","Data sparats."
"Component deleted successfully.","Component raderats."
"Banner data deleted successfully.","Banner uppgifter raderats."
"Layout deleted successfully.","Layout raderats."
"Data has been saved successfully.","Data har sparats."
"Settings saved successfully","Inställningar sparats"
"Edit Layout","Redigera layout"
"Knowband Mobile App Builder is not enabled on this store.","Knowband Mobile App Builder är inte aktiverat på den här butiken."
"Requested API not available","Begärd API inte tillgängligt"
"Requested Api method not available","Begärd Api metoden inte finns"
"Save Settings","Spara inställningar"
"Edit","Redigera"
"Edit Name","Redigera namn"
"Delete","Radera"
"View Details","Visa detaljer"
"Layout ID","layout ID"
"Layout Name","layout"
"Action","Handling"
"Home Page Layout Settings","Hemsida Layoutinställningar"
"Title","Titel"
"URL","URL"
"Upload","Ladda upp"
"Image Type","Bildtyp"
"Home","Hem"
"Category","Kategori"
"Product","Produkt"
"Redirect Activity","omdirigerings Aktivitet"
"Disable","Inaktivera"
"Enable","Gör det möjligt"
"Status","Status"
"Banners Settings","Banners Inställningar"
"ID","ID"
"Device Type","Enhetstyp"
"Both Android/iOS","Både Android / iOS"
"Android","Android"
"iOS","iOS"
"Sent Date","sände Datum"
"Push Notification History","Push Notification History"
"Return Statuses","Return Status"
"Coupon Code","kupongskod"
"Customer Email","Kund Email"
"Device","Enhet"
"Coupon Used","kupong Används"
"Yes","Ja"
"Coupon Generated On","Kupong som genereras på"
"Menu Settings","Menyinställningar"
"Push Notification Settings","Pushnotifieringsinställningar"
"Slider Settings","Slider Settings"
"Google Login Settings","Google Inloggningsinställningar"
"Facebook Login Settings","Facebook Login Settings"
"General Settings","Allmänna Inställningar"
"New Arrival","Ny ankomst"
"Best Seller","Bästsäljare"
"Statistics","Statistik"
