"Paypal Express","Paypal Express"
"View In details","View In details"
"Subscription Id","Subscription Id"
"Initial Order Id","Initial Order Id"
Product,Product
"Created At","Created At"
"Start Date","Start Date"
"Recurring Profile","Recurring Profile"
"Manage Duration Type","Manage Duration Type"
"Add New Duration","Add New Duration"
Save,Save
"Edit Terms '%'","Edit Terms '%'"
"New Terms","New Terms"
"Duration Type Information","Duration Type Information"
"Duration Title","Duration Title"
"Duration (days) ","Duration (days) "
Status,Status
"Sort Order","Sort Order"
Enabled,Enabled
Disabled,Disabled
"Duration Data","Duration Data"
"Duration Information","Duration Information"
Information,Information
"Manage Subscription Type","Manage Subscription Type"
"Add New Subscription Type","Add New Subscription Type"
"Edit Supplier '%'","Edit Supplier '%'"
"New Supplier","New Supplier"
"Subscription Type Information","Subscription Type Information"
"Subscription Type Name","Subscription Type Name"
"Subscription Type Description","Subscription Type Description"
"Duration type","Duration type"
"Supplier Data","Supplier Data"
Title,Title
Type,Type
"Plans Information","Plans Information"
"Can Customer Define the Start Date","Can Customer Define the Start Date"
"Initial Fee Allowed","Initial Fee Allowed"
"Associated to Website","Associated to Website"
Fixed,Fixed
Percent,Percent
"Initial Fee","Initial Fee"
Id,Id
"Order Id","Order Id"
Orders,Orders
"Subscriptions Info","Subscriptions Info"
Subscribed,Subscribed
UnSubscribed,UnSubscribed
"Rule Name","Rule Name"
Description,Description
"Description ..","Description .."
"All Products","All Products"
"Specific Products","Specific Products"
Plans,Plans
"New Duration Type","New Duration Type"
"Duration Type","Duration Type"
"Subscription Type(s) Can't be Deleted.","Subscription Type(s) Can't be Deleted."
"Subscription Type(s) deleted successfully.","Subscription Type(s) deleted successfully."
"Duration Type(s) Disabled successfully.","Duration Type(s) Disabled successfully."
"Duration Type(s) Enabled successfully.","Duration Type(s) Enabled successfully."
"This Duration already available","This Duration already available"
"Record Saved Successfully","Record Saved Successfully"
"New Subscription Type","New Subscription Type"
"Subscription Type","Subscription Type"
"Subscription Type(s) Disabled successfully.","Subscription Type(s) Disabled successfully."
"Subscription Type(s) Enabled successfully.","Subscription Type(s) Enabled successfully."
